,Year,District,Crimes,Population,C/P,Median Income,M/P,Nationality Count,N/P
0,2009,Kreis 1,13179,5536.0,3.18853549669615,74.3,2.761782891020708,207,2.3889572418907385
1,2009,Kreis 10,3544,36686.0,-0.36223197286709297,59.67,-0.4424896991982294,219,-0.621137689714597
2,2009,Kreis 11,8578,64283.0,-0.30496318715821225,49.37,-0.6757046069021159,363,-0.6520485143515588
3,2009,Kreis 12,2067,29185.0,-0.4023096276239843,40.37,-0.5085822331999624,305,-0.19187789044755335
4,2009,Kreis 2,3903,29531.0,-0.30694532642817074,59.02,-0.3414158402186919,277,-0.2944367558732587
5,2009,Kreis 3,5387,46595.0,-0.3326790057005282,48.93,-0.5990329827585301,336,-0.5022079078712999
6,2009,Kreis 4,10535,27354.0,0.08632838596955557,41.3,-0.4741610171407479,298,-0.1493802517087891
7,2009,Kreis 5,5223,12722.0,0.1258362242178603,51.07,0.2061516894509057,170,0.0870891188895788
8,2009,Kreis 6,3714,30757.0,-0.3246886209094769,62.48,-0.3324369620548676,222,-0.5015569808308588
9,2009,Kreis 7,2681,35240.0,-0.3941411902781731,78.3,-0.2807138775911675,364,-0.20350772576058698
10,2009,Kreis 8,2742,15315.0,-0.23407369289742805,72.37,0.39935381781176604,241,0.31446275200463286
11,2009,Kreis 9,5856,47295.0,-0.31992277056860907,49.03,-0.6026812322846629,233,-0.721057800057053
12,2010,Kreis 1,13648,5607.0,3.271708978886793,75.23,2.7608344574142407,210,2.394854903917882
13,2010,Kreis 10,2810,36474.0,-0.3926442999347295,60.0,-0.4374387899552857,217,-0.6230666538186325
14,2010,Kreis 11,6802,63092.0,-0.34480891955668624,49.87,-0.6696133207243552,367,-0.635763519520987
15,2010,Kreis 12,2050,28991.0,-0.40248445082983964,40.4,-0.5057554444582245,313,-0.15874407365939908
16,2010,Kreis 2,3462,29421.0,-0.3294799078949805,59.62,-0.3338456840976453,280,-0.2813091034605288
17,2010,Kreis 3,5401,4608.0,1.3097539112792838,49.57,2.0379007322726665,326,5.584212773908879
18,2010,Kreis 4,11067,27056.0,0.12349161410379512,42.08,-0.461777891580983,305,-0.11310114319444842
19,2010,Kreis 5,5197,12714.0,0.12305862817285838,51.98,0.2264248155499032,178,0.14817185988566092
20,2010,Kreis 6,3014,30203.0,-0.35727612149575216,63.87,-0.30987106386555874,224,-0.4825307459169406
21,2010,Kreis 7,3519,34843.0,-0.35540359460490634,79.35,-0.26564949790482556,367,-0.18398545662427665
22,2010,Kreis 8,2206,15431.0,-0.2901665527324169,73.48,0.4093631738122658,247,0.34037867232042196
23,2010,Kreis 9,5390,46875.0,-0.3336531311275886,49.3,-0.5986121365285827,240,-0.7025237350889766
24,2011,Kreis 1,16409,5576.0,4.062533868730194,75.23,2.781099920581491,204,2.311721738189785
25,2011,Kreis 10,3078,36939.0,-0.3828728550567173,61.3,-0.433503610075056,221,-0.6198677369809403
26,2011,Kreis 11,6449,64612.0,-0.3572453878151787,50.07,-0.6738237140374229,381,-0.6281156589869097
27,2011,Kreis 12,2235,29599.0,-0.39502579359200174,40.42,-0.5133789444739869,315,-0.17351601768938094
28,2011,Kreis 2,3472,29809.0,-0.33133949518479955,59.92,-0.33827686897596476,287,-0.2706802828332384
29,2011,Kreis 3,4875,46971.0,-0.351063772907228,50.47,-0.5924484133580643,333,-0.5138560284039215
30,2011,Kreis 4,11059,27398.0,0.11509986934704197,42.48,-0.46308627727373786,314,-0.09511310109493466
31,2011,Kreis 5,5938,12777.0,0.21008575144177621,52.63,0.2347684124946899,179,0.14905641722200966
32,2011,Kreis 6,3312,31131.0,-0.34701911462280327,65.55,-0.31230575853532344,223,-0.5067865943689248
33,2011,Kreis 7,2289,35362.0,-0.4117828423237768,81.87,-0.2553955658151961,376,-0.17441349579388576
34,2011,Kreis 8,2630,15212.0,-0.24363518116749364,74.67,0.449120800615202,248,0.36875134151588235
35,2011,Kreis 9,5661,47520.0,-0.3272136677492316,50.0,-0.5984884683116021,249,-0.6910379322785286
36,2012,Kreis 1,16955,5040.0,4.717494210949695,78.4,3.3416065364566903,209,2.7794812253795596
37,2012,Kreis 10,4024,36003.0,-0.3386562439856411,61.18,-0.42266332720564603,227,-0.5890029916503763
38,2012,Kreis 11,7495,64085.0,-0.3305945863119646,50.12,-0.6718806336202205,377,-0.6294496669700816
39,2012,Kreis 12,2183,28295.0,-0.3924728862413305,39.6,-0.5041241810162992,323,-0.09944748458495471
40,2012,Kreis 2,4144,29393.0,-0.2932338826064115,58.7,-0.34179366376457104,293,-0.23807190926811622
41,2012,Kreis 3,5664,45420.0,-0.3185481849305451,50.2,-0.5840761132308357,341,-0.4737918778844147
42,2012,Kreis 4,11803,26044.0,0.19213485268193906,42.03,-0.4458800488622453,309,-0.0564263711573865
43,2012,Kreis 5,6949,12278.0,0.36746138925514316,53.72,0.30422098498159733,179,0.20359990236127884
44,2012,Kreis 6,3712,30045.0,-0.3203434131068182,65.23,-0.2944926578471862,227,-0.46922934044220377
45,2012,Kreis 7,2598,34524.0,-0.39542581393935405,81.32,-0.24445728415590906,372,-0.16078845908455722
46,2012,Kreis 8,2806,14814.0,-0.2179440069893596,76.87,0.525290893184892,249,0.41717659486296005
47,2012,Kreis 9,6036,48315.0,-0.3181947060333918,49.95,-0.6034730608674692,247,-0.7032628972924462
48,2013,Kreis 1,15331,5057.0,4.200660795044452,76.98,3.251295396972946,208,2.7471838557873034
