"StichtagDatJahr","QuarSort","QuarCd","QuarLang","DatenstandCd","AnzBestWir","AnzNat"
1993,11,"011","Rathaus","V",3133,66
1993,12,"012","Hochschulen","V",808,32
1993,13,"013","Lindenhof","V",1136,32
1993,14,"014","City","V",884,36
1993,21,"021","Wollishofen","V",15927,83
1993,23,"023","Leimbach","V",4555,54
1993,24,"024","Enge","V",8125,73
1993,31,"031","Alt-Wiedikon","V",14637,97
1993,33,"033","Friesenberg","V",10167,77
1993,34,"034","Sihlfeld","V",21536,99
1993,41,"041","Werd","V",4048,68
1993,42,"042","Langstrasse","V",11505,94
1993,44,"044","Hard","V",12747,81
1993,51,"051","Gewerbeschule","V",9948,95
1993,52,"052","Escher Wyss","V",1547,42
1993,61,"061","Unterstrass","V",20425,97
1993,63,"063","Oberstrass","V",10154,87
1993,71,"071","Fluntern","V",7188,68
1993,72,"072","Hottingen","V",10139,83
1993,73,"073","Hirslanden","V",6835,69
1993,74,"074","Witikon","V",9626,74
1993,81,"081","Seefeld","V",5283,78
1993,82,"082","Mühlebach","V",5694,80
1993,83,"083","Weinegg","V",4856,70
1993,91,"091","Albisrieden","V",17132,80
1993,92,"092","Altstetten","V",27871,100
1993,101,"101","Höngg","V",19118,85
1993,102,"102","Wipkingen","V",15974,97
1993,111,"111","Affoltern","V",18095,85
1993,115,"115","Oerlikon","V",16710,93
1993,119,"119","Seebach","V",17614,92
1993,121,"121","Saatlen","V",6472,60
1993,122,"122","Schwamendingen-Mitte","V",10175,75
1993,123,"123","Hirzenbach","V",10834,82
1994,11,"011","Rathaus","V",3089,67
1994,12,"012","Hochschulen","V",806,34
1994,13,"013","Lindenhof","V",1087,35
1994,14,"014","City","V",845,38
1994,21,"021","Wollishofen","V",15902,85
1994,23,"023","Leimbach","V",4598,60
1994,24,"024","Enge","V",8122,81
1994,31,"031","Alt-Wiedikon","V",14803,98
1994,33,"033","Friesenberg","V",10213,80
1994,34,"034","Sihlfeld","V",21569,107
1994,41,"041","Werd","V",4125,67
1994,42,"042","Langstrasse","V",11183,96
1994,44,"044","Hard","V",12816,85
1994,51,"051","Gewerbeschule","V",9773,91
1994,52,"052","Escher Wyss","V",1596,44
1994,61,"061","Unterstrass","V",20477,100
1994,63,"063","Oberstrass","V",10266,85
1994,71,"071","Fluntern","V",7085,73
1994,72,"072","Hottingen","V",10229,90
1994,73,"073","Hirslanden","V",6750,70
1994,74,"074","Witikon","V",9661,75
1994,81,"081","Seefeld","V",5304,81
1994,82,"082","Mühlebach","V",5611,81
1994,83,"083","Weinegg","V",4883,69
1994,91,"091","Albisrieden","V",17058,82
1994,92,"092","Altstetten","V",27717,103
